      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        221,        505,        738,        972,       1215,       1513,       1823,       2060,       2295,       2534,       2766,       3258
          0,        221,        505,        738,        972,       1215,       1510,       1818,       2057,       2292,       2531,       2764,       3056
          0,        220,        504,        737,        974,       1217,       1468,       1781,       2018,       2255,       2492,       2724,       3021
          0,        220,        503,        738,        973,       1215,       1509,       1817,       2053,       2288,       2527,       2759,       3056
          0,        219,        504,        739,        977,       1219,       1512,       1822,       2059,       2294,       2531,       2763,       3058
          0,        219,        506,        737,        971,       1214,       1479,       1788,       2024,       2257,       2494,       2726,       3021
          0,        219,        503,        736,        970,       1213,       1507,       1815,       2051,       2284,       2521,       2754,       3046
          0,        220,        504,        737,        974,       1218,       1512,       1824,       2064,       2300,       2536,       2768,       3061
          0,        219,        503,        737,        974,       1217,       1470,       1778,       2017,       2252,       2491,       2724,       3223
          0,        222,        506,        739,        976,       1219,       1516,       1824,       2062,       2296,       2532,       2764,       3056
          0,        219,        503,        736,        972,       1214,       1466,       1776,       2015,       2250,       2489,       2721,       3008
          0,        219,        502,        736,        971,       1215,       1510,       1820,       2057,       2292,       2531,       2763,       3055
          0,        221,        505,        739,        976,       1220,       1516,       1824,       2063,       2298,       2537,       2770,       3062
          0,        218,        508,        741,        977,       1220,       1472,       1784,       2021,       2256,       2494,       2726,       3018
          0,        219,        504,        739,        974,       1218,       1516,       1826,       2066,       2301,       2540,       2772,       3059
          0,        220,        504,        739,        974,       1217,       1511,       1822,       2062,       2298,       2534,       2766,       3054
          0,        219,        503,        736,        970,       1214,       1467,       1775,       2014,       2249,       2488,       2721,       3222
          0,        219,        503,        737,        974,       1218,       1512,       1820,       2058,       2293,       2530,       2763,       3050
          0,        218,        503,        738,        974,       1217,       1513,       1824,       2063,       2301,       2539,       2771,       3069
          0,        218,        503,        738,        974,       1217,       1516,       1825,       2063,       2301,       2539,       2771,       3066
          0,        219,        502,        736,        971,       1213,       1464,       1773,       2009,       2244,       2483,       2716,       3004
          0,        219,        503,        736,        970,       1215,       1468,       1779,       2019,       2254,       2493,       2725,       3012
          0,        219,        503,        737,        974,       1218,       1512,       1819,       2058,       2293,       2532,       2765,       3057
          0,        219,        504,        739,        974,       1217,       1512,       1821,       2059,       2294,       2532,       2764,       3054
          0,        221,        505,        739,        976,       1220,       1515,       1823,       2061,       2296,       2533,       2768,       3265
          0,        219,        503,        737,        972,       1214,       1515,       1824,       2063,       2298,       2537,       2769,       3061
          0,        219,        503,        736,        970,       1212,       1464,       1774,       2013,       2248,       2487,       2719,       3007
          0,        219,        502,        736,        971,       1213,       1506,       1815,       2054,       2289,       2528,       2761,       3048
          0,        218,        503,        736,        974,       1217,       1513,       1822,       2063,       2301,       2539,       2771,       3066
          0,        219,        503,        737,        974,       1214,       1465,       1776,       2013,       2248,       2487,       2720,       3007
          0,        219,        503,        736,        970,       1213,       1513,       1822,       2059,       2294,       2533,       2766,       3058
          0,        221,        506,        737,        972,       1214,       1525,       1834,       2070,       2303,       2540,       2772,       3060
          0,        220,        504,        737,        974,       1217,       1468,       1779,       2018,       2254,       2490,       2722,       3220
          0,        218,        503,        738,        976,       1222,       1520,       1829,       2067,       2302,       2542,       2774,       3069
          0,        221,        505,        739,        976,       1220,       1515,       1823,       2061,       2296,       2533,       2766,       3054
          0,        219,        503,        959,       1194,       1435,       1729,       2037,       2275,       2510,       2747,       2980,       3267
          0,        221,        510,        744,        979,       1223,       1475,       1783,       2022,       2257,       2496,       2729,       3021
          0,        219,        509,        744,        979,       1222,       1472,       1784,       2024,       2259,       2497,       2729,       3021
          0,        219,        503,        736,        970,       1212,       1506,       1815,       2054,       2289,       2528,       2760,       3048
          0,        221,        505,        737,        973,       1217,       1514,       1826,       2067,       2305,       2542,       2773,       3061
          0,        219,        503,        736,        970,       1213,       1464,       1772,       2011,       2246,       2482,       2715,       3216
          0,        219,        503,        737,        974,       1218,       1513,       1821,       2059,       2294,       2531,       2764,       3052
          0,        218,        503,        736,        972,       1215,       1507,       1817,       2055,       2291,       2529,       2761,       3056
          0,        221,        506,        739,        975,       1217,       1511,       1820,       2058,       2296,       2534,       2766,       3061
