      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        220,        504,        736,        974,       1216,       1513,       1823,       2060,       2294,       2531,       2764,       3055
          0,        219,        508,        744,        981,       1223,       1477,       1788,       2024,       2260,       2497,       2729,       3019
          0,        218,        503,        736,        974,       1218,       1514,       1822,       2060,       2295,       2533,       2765,       3058
          0,        220,        504,        737,        974,       1217,       1516,       1828,       2065,       2299,       2536,       2768,       3058
          0,        219,        563,        797,       1034,       1277,       1530,       1838,       2075,       2311,       2548,       2781,       3076
          0,        219,        506,        739,        976,       1219,       1518,       1829,       2066,       2302,       2539,       2771,       3064
          0,        220,        512,        745,        982,       1224,       1521,       1830,       2066,       2302,       2538,       2770,       3065
          0,        219,        503,        736,        972,       1217,       1470,       1778,       2014,       2247,       2484,       2717,       3215
          0,        220,        952,       1185,       1422,       1665,       1964,       2275,       2511,       2744,       2981,       3213,       3503
          0,        219,        503,        736,        973,       1218,       1471,       1782,       2018,       2251,       2488,       2720,       3013
          0,        219,        510,        743,        979,       1222,       1521,       1831,       2068,       2304,       2540,       2772,       3065
          0,        220,        504,        736,        973,       1216,       1512,       1824,       2062,       2297,       2535,       2767,       3060
          0,        220,        511,        744,        981,       1224,       1475,       1789,       2027,       2264,       2501,       2733,       3023
          0,        219,        606,        839,       1076,       1318,       1613,       1925,       2162,       2398,       2636,       2868,       3158
          0,        219,       1003,       1236,       1472,       1716,       2011,       2320,       2556,       2792,       3030,       3262,       3557
          0,        220,        504,        736,        974,       1217,       1468,       1783,       2021,       2258,       2495,       2728,       3223
          0,        292,        583,        816,       1053,       1296,       1590,       1899,       2136,       2372,       2609,       2841,       3134
          0,        219,        511,        744,        982,       1225,       1518,       1828,       2066,       2301,       2538,       2771,       3062
          0,        218,       1089,       1321,       1559,       1802,       2095,       2404,       2642,       2877,       3114,       3347,       3638
          0,        219,        514,        749,        986,       1229,       1482,       1794,       2030,       2266,       2502,       2734,       3024
          0,        219,       1072,       1305,       1542,       1786,       2039,       2351,       2588,       2824,       3061,       3293,       3586
          0,        219,        504,        924,       1160,       1403,       1699,       2008,       2244,       2480,       2717,       2949,       3239
          0,        219,        503,        737,        973,       1218,       1513,       1821,       2057,       2290,       2527,       2762,       3052
          0,        219,        736,        969,       1205,       1449,       1745,       2053,       2290,       2526,       2765,       2997,       3499
          0,        310,        602,        835,       1072,       1315,       1611,       1920,       2156,       2392,       2628,       2860,       3150
          0,        219,        514,        750,        987,       1231,       1485,       1796,       2033,       2266,       2503,       2735,       3025
          0,        219,        503,        737,        974,       1217,       1514,       1822,       2059,       2295,       2532,       2765,       3055
          0,        219,        503,        735,        973,       1216,       1517,       1827,       2065,       2300,       2537,       2769,       3062
          0,        219,        503,        737,        974,       1218,       1470,       1782,       2019,       2255,       2492,       2727,       3017
          0,        219,        641,        875,       1112,       1355,       1650,       1957,       2194,       2430,       2667,       2900,       3190
          0,        294,        585,        819,       1056,       1299,       1594,       1903,       2140,       2376,       2613,       2848,       3138
          0,        219,        510,        743,        979,       1222,       1476,       1785,       2021,       2254,       2491,       2724,       3224
          0,        219,        511,        745,        981,       1225,       1525,       1836,       2073,       2306,       2542,       2774,       3064
          0,        219,        503,        736,        973,       1216,       1511,       1819,       2056,       2292,       2529,       2761,       3054
          0,        220,        504,        737,        974,       1219,       1515,       1823,       2060,       2293,       2529,       2761,       3051
          0,        219,        503,        736,        972,       1215,       1469,       1778,       2015,       2251,       2488,       2721,       3011
          0,        219,        954,       1189,       1426,       1668,       1920,       2232,       2469,       2705,       2944,       3176,       3466
          0,        219,        514,        747,        984,       1228,       1523,       1831,       2068,       2304,       2541,       2773,       3066
          0,        220,        942,       1175,       1412,       1653,       1948,       2258,       2495,       2728,       2964,       3196,       3486
