CPU,mitigation,kernel,benchmark,adjusted,mean,median,p1,p25,p50,p75,p99,std,iqr,min,max
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fccmp,vdso,False,31.01420852511507,31.0,30.0,31.0,31.0,31.0,32.0,0.7899193772258509,0.0,30,52
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fccmp,syscall,False,219.64025674455922,220.0,216.0,220.0,220.0,220.0,223.0,2.076816862964099,0.0,214,370
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fccmp,ioctl,False,286.85638190954774,288.0,280.0,286.0,288.0,288.0,295.0,4.420847934181878,2.0,280,422
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fccmp,noop,True,0.01830366073214643,0.0,0.0,0.0,0.0,0.0,0.0,0.4301186387699156,0.0,0.0,21.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fccmp,vdso,True,3.014208525115069,3.0,2.0,3.0,3.0,3.0,4.0,0.7899193772258509,0.0,2.0,24.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fccmp,syscall,True,191.64025674455922,192.0,188.0,192.0,192.0,192.0,195.0,2.076816862964099,0.0,186.0,342.0
AMD_Ryzen_7_3700X_8-Core_Processor,mitigations=auto,fccmp,ioctl,True,258.85638190954774,260.0,252.0,258.0,260.0,260.0,267.0,4.420847934181878,2.0,252.0,394.0
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fastcall,noop,False,28.012008405884117,28.0,28.0,28.0,28.0,28.0,28.0,0.33546188069700417,0.0,28,47
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fastcall,fastcall,False,120.15016518169988,118.0,117.0,118.0,118.0,125.0,129.1200000000008,3.607046865309961,7.0,115,176
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fastcall,noop,True,0.012008405884118884,0.0,0.0,0.0,0.0,0.0,0.0,0.33546188069700417,0.0,0.0,19.0
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fastcall,fastcall,True,92.15016518169988,90.0,89.0,90.0,90.0,97.0,101.1200000000008,3.607046865309961,7.0,87.0,148.0
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fccmp,noop,False,28.059611922384477,28.0,28.0,28.0,28.0,28.0,28.0,0.6920570193340191,0.0,28,49
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fccmp,vdso,False,30.891956782713084,31.0,30.0,31.0,31.0,31.0,32.0,0.7797272102100515,0.0,30,52
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fccmp,syscall,False,216.99027178818574,217.0,215.0,216.0,217.0,217.0,220.0,2.1764518764216914,1.0,213,368
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fccmp,ioctl,False,280.96685748719494,280.0,280.0,280.0,280.0,282.0,288.0,2.171955588568954,2.0,279,418
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fccmp,noop,True,0.05961192238447689,0.0,0.0,0.0,0.0,0.0,0.0,0.6920570193340191,0.0,0.0,21.0
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fccmp,vdso,True,2.8919567827130854,3.0,2.0,3.0,3.0,3.0,4.0,0.7797272102100515,0.0,2.0,24.0
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fccmp,syscall,True,188.99027178818574,189.0,187.0,188.0,189.0,189.0,192.0,2.1764518764216914,1.0,185.0,340.0
AMD_Ryzen_7_3700X_8-Core_Processor,nopti%mds=off,fccmp,ioctl,True,252.96685748719494,252.0,252.0,252.0,252.0,254.0,260.0,2.171955588568954,2.0,251.0,390.0
